,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1977.0,78.0,23.0,0.0,128.0
1,1939.0,146.0,61.0,1.0,274.0
2,1850.0,228.0,150.0,2.0,502.0
3,1723.0,353.0,277.0,3.0,855.0
4,1543.0,484.0,457.0,4.0,1339.0
5,1330.0,598.0,670.0,5.0,1937.0
6,1033.0,626.0,967.0,6.0,2563.0
7,735.0,636.0,1265.0,7.0,3199.0
8,424.0,631.0,1576.0,8.0,3830.0
9,110.0,648.0,1890.0,9.0,4478.0
10,-202.0,667.0,2202.0,10.0,5145.0
11,-537.0,661.0,2537.0,11.0,5806.0
12,-887.0,654.0,2887.0,12.0,6460.0
13,-1233.0,657.0,3233.0,13.0,7117.0
14,-1564.0,667.0,3564.0,14.0,7784.0
15,-1899.0,622.0,3899.0,15.0,8406.0
16,-2223.0,633.0,4223.0,16.0,9039.0
17,-2545.0,631.0,4545.0,17.0,9670.0
18,-2871.0,620.0,4871.0,18.0,10290.0
19,-3188.0,641.0,5188.0,19.0,10931.0
20,-3188.0,641.0,5188.0,20.0,10931.0
